Date : 2026-08-14 10:46:52
Directory : /Users/philliphanson/Documents/Design/web/hson/hson-live
Total : 570 files,  125085 codes, 9830 comments, 19357 blanks, all 154272 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/_tests/transform-oracle.ts                                             | TypeScript         |        582 |          4 |         35 |        621 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/index.ts                                                  | TypeScript         |         80 |          0 |          2 |         82 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.actions.ts                                       | TypeScript         |        347 |          0 |         32 |        379 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.activity.ts                                      | TypeScript         |        111 |          2 |         11 |        124 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.authority-registry.ts                            | TypeScript         |        382 |          2 |         27 |        411 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.authority.ts                                     | TypeScript         |        308 |          1 |         26 |        335 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.bootstrap.ts                                     | TypeScript         |        534 |          6 |         30 |        570 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.browser-socket.ts                                | TypeScript         |        136 |          1 |         11 |        148 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.client.ts                                        | TypeScript         |      1,215 |          3 |         71 |      1,289 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.core.ts                                          | TypeScript         |      1,750 |          5 |         97 |      1,852 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.document-actions.ts                              | TypeScript         |        216 |          1 |         25 |        242 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.document-snapshot.ts                             | TypeScript         |        195 |         16 |         22 |        233 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.error.ts                                         | TypeScript         |         45 |          0 |         11 |         56 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.facade.ts                                        | TypeScript         |         22 |          5 |          3 |         30 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.graph-content-codec.ts                           | TypeScript         |        144 |          0 |         11 |        155 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.history.ts                                       | TypeScript         |        593 |         11 |         49 |        653 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.persistence.error.ts                             | TypeScript         |         19 |          1 |          2 |         22 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.persistence.ts                                   | TypeScript         |        536 |          4 |         27 |        567 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.protocol.ts                                      | TypeScript         |        982 |         12 |         76 |      1,070 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.recovery.ts                                      | TypeScript         |        626 |         14 |         56 |        696 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.session.ts                                       | TypeScript         |        300 |          1 |         28 |        329 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.store.ts                                         | TypeScript         |         65 |          1 |         17 |         83 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.sync.ts                                          | TypeScript         |        182 |          1 |         32 |        215 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.trace.collector.ts                               | TypeScript         |         39 |          1 |          4 |         44 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.trace.console.ts                                 | TypeScript         |         43 |          2 |          6 |         51 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/livehost.trace.ts                                         | TypeScript         |        134 |          3 |         15 |        152 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/index.ts                                             | TypeScript         |         50 |          0 |          1 |         51 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/livehost.node-application-host.ts                    | TypeScript         |        738 |          8 |         35 |        781 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/livehost.node-bootstrap-http.ts                      | TypeScript         |        166 |          2 |         10 |        178 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/livehost.node-policy.ts                              | TypeScript         |        232 |          4 |         20 |        256 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/livehost.node-runtime.ts                             | TypeScript         |         25 |          1 |          4 |         30 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livehost/node/livehost.node-socket.ts                              | TypeScript         |         78 |          1 |          4 |         83 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/liveinspect/liveinspect.error.ts                                   | TypeScript         |         41 |          0 |          4 |         45 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/liveinspect/liveinspect.facade.ts                                  | TypeScript         |         51 |          1 |          4 |         56 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/liveinspect/liveinspect.source.ts                                  | TypeScript         |        213 |          5 |         18 |        236 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/liveinspect/liveinspect.ts                                         | TypeScript         |      1,374 |          0 |         99 |      1,473 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/index.ts                                                   | TypeScript         |         70 |          0 |          1 |         71 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap-helpers.ts                                         | TypeScript         |         78 |         77 |         25 |        180 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.authority.ts                                       | TypeScript         |        251 |          4 |         28 |        283 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.bridge-bindings.ts                                 | TypeScript         |        193 |          9 |         49 |        251 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.bridge.ts                                          | TypeScript         |        309 |         47 |         71 |        427 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.commit-observer.ts                                 | TypeScript         |         33 |          1 |          3 |         37 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.compat.ts                                          | TypeScript         |         42 |          5 |          5 |         52 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.core.ts                                            | TypeScript         |      2,124 |        104 |        162 |      2,390 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.attrs.ts                                  | TypeScript         |        160 |          3 |         10 |        173 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.capture.ts                                | TypeScript         |        164 |          5 |         15 |        184 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.id-discovery.ts                           | TypeScript         |         39 |          6 |          4 |         49 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.identity-handle.ts                        | TypeScript         |         96 |          3 |         11 |        110 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.identity.ts                               | TypeScript         |        435 |         32 |         41 |        508 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.install.ts                                | TypeScript         |        176 |          3 |         13 |        192 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.location.ts                               | TypeScript         |        378 |          2 |         27 |        407 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.logical.ts                                | TypeScript         |        566 |         20 |         43 |        629 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.mutation.ts                               | TypeScript         |        881 |         10 |         61 |        952 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.path.ts                                   | TypeScript         |        259 |         17 |         22 |        298 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.registration.ts                           | TypeScript         |        221 |         11 |         20 |        252 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.replay.ts                                 | TypeScript         |        191 |          1 |         13 |        205 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.schema.ts                                 | TypeScript         |        729 |          0 |         63 |        792 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.target.ts                                 | TypeScript         |        236 |          9 |         21 |        266 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.ts                                        | TypeScript         |        335 |         10 |         27 |        372 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.view-state-codec.error.ts                 | TypeScript         |         23 |          2 |          2 |         27 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.document.view-state-codec.ts                       | TypeScript         |        655 |          9 |         48 |        712 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.editor.ts                                          | TypeScript         |        313 |        175 |         83 |        571 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.error.ts                                           | TypeScript         |        301 |          7 |         39 |        347 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.facade.ts                                          | TypeScript         |         42 |          4 |          8 |         54 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/livemap/livemap.feed.ts                                            | TypeScript         |        117 |         60 |         19 |        196 |
